2016-06-24 16:42:36 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:42:42 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:42:55 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:43:32 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:44:58 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:45:30 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:45:50 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:46:23 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:46:50 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:47:19 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:47:45 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 574]
2016-06-24 16:47:45 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 574]
